tier,clip_id,category,recording_name,hololens_sequence,subject_role,body_indices,frame_start_inclusive,frame_end_inclusive,frame_end_exclusive,frame_count,duration_s,source_row_ids,source_action_labels,head_motion_required,head_motion_metric_status,head_turn_excursion_deg,head_mean_angular_velocity_deg_s,head_p95_angular_velocity_deg_s,head_motion_qualified,pv_coverage_ratio,head_motion_semantic_prior
clips,DESK_001,desktop_head_motion,recording_20210907_S03_S04_01,,camera_wearer,1,1421,2020,2021,600,20.0,500;501,take_class_look_book;take_class_sit_down,True,computed_pv_camera_rotation_proxy_metadata_span,179.74284096062254,29.098702130324263,99.28569443478128,True,1.0,1.5
clips,DESK_002,desktop_head_motion,recording_20210907_S04_S03_01,,camera_wearer,1,2001,2600,2601,600,20.0,502;503,take_class_listen;take_class_teach,True,computed_pv_camera_rotation_proxy_timestamp_anchors,81.23031578169004,46.50333549755174,201.15459582667765,True,0.9283333333333333,1.5
clips,DESK_003,desktop_head_motion,recording_20210907_S04_S03_02,,camera_wearer,1,1601,2200,2201,600,20.0,504;505,take_class_listen,True,computed_pv_camera_rotation_proxy_timestamp_anchors,84.64727118855096,24.05557601575857,108.65678522487997,True,0.9733333333333334,1.5
clips,DESK_004,desktop_head_motion,recording_20210911_S06_S07_02,,camera_wearer,1,901,1500,1501,600,20.0,527;528,catch_toss_pick_up_pen,True,computed_pv_camera_rotation_proxy_timestamp_anchors,69.43895041335593,28.882249734467,104.93866530019156,True,0.94,1.0
clips,DESK_005,desktop_head_motion,recording_20210911_S07_S06_02,,camera_wearer,1,901,1500,1501,600,20.0,537;538,kick_pen,True,computed_pv_camera_rotation_proxy_metadata_span,115.7361357423735,14.574997285657645,53.988661307306955,True,1.0,1.0
clips,DESK_006,desktop_head_motion,recording_20210911_S07_S06_03,,camera_wearer,1,1861,2460,2461,600,20.0,539;540,kick_pen,True,computed_pv_camera_rotation_proxy_metadata_span,115.7361357423735,15.137596493829097,48.192265783692136,True,1.0,1.0
clips,DESK_007,desktop_head_motion,recording_20210918_S05_S06_02,,camera_wearer,1,751,1350,1351,600,20.0,564;565,pantry_stand_demostrate_coffee_machine,True,computed_pv_camera_rotation_proxy_timestamp_anchors,110.65347094500478,16.156482541181106,42.84357403989671,True,0.8766666666666667,2.0
clips,DESK_008,desktop_head_motion,recording_20210923_S03_S14_01,,camera_wearer,1,1211,1810,1811,600,20.0,649;650,draw_with_hands,True,computed_pv_camera_rotation_proxy_metadata_span,127.68085713740419,16.59399337902159,49.55140008025113,True,1.0,2.0
clips,DESK_009,desktop_head_motion,recording_20210923_S14_S03_01,,camera_wearer,1,841,1440,1441,600,20.0,642;643,lounge_sit_and_lean_against_table_casual_chat;lounge_sit_down_and_lean_against_table_casual_chat,True,computed_pv_camera_rotation_proxy_timestamp_anchors,65.07037641863262,20.66253119062724,88.70716107428532,True,0.9566666666666667,1.0
clips,DESK_010,desktop_head_motion,recording_20210929_S15_S11_01,,camera_wearer,1,3261,3860,3861,600,20.0,660;661,studnet_attend_class,True,computed_pv_camera_rotation_proxy_metadata_span,39.245867608740554,6.660241738706664,31.809417276107133,True,1.0,1.5
